Fuel system status: Fuel system 2	Calculated engine load [%]	Engine Coolant Temperature [°F]	Short Term Fuel Trim - Bank 1 [%]	Long Term Fuel Trim - Bank 1 [%]	Ignition Timing Advance for #1 Cylinder	Bank 1 - Sensor 1 (O2S): Oxygen Sensor Output Voltage [V]	Bank 1 - Sensor 1 (O2S): Short Term Fuel Trim [%]	Bank 1 - Sensor 2 (O2S): Oxygen Sensor Output Voltage [V]	Bank 1 - Sensor 2 (O2S): Short Term Fuel Trim [%]	Fuel consumption [MPG]	Battery voltage [V]	Engine RPM [RPM]	Air Flow Rate from Mass Flow Sensor [lb/min]	Intake Air Temperature [°F]	Absolute Throttle Position [%]	Vehicle Speed Sensor [mph]	Time
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string
												class	class	class	class	class	meta
	17.3	159.0	17.2	19.5	15.0	0.14	19.5	0.105		0.0	14.1	1068.0	0.3	93.0	10.6	0.0	13:28:47.606
	17.3	159.0	17.2	19.5	15.0	0.14	19.5	0.105		0.0	14.1	1068.0	0.3	93.0	10.6	0.0	13:28:47.880
	17.3	159.0	17.2	19.5	15.0	0.14	19.5	0.105		0.0	14.1	1068.0	0.3	93.0	10.6	0.0	13:28:48.124
	17.3	159.0	17.2	19.5	15.0	0.965	19.5	0.105		0.0	14.1	1068.0	0.3	93.0	10.6	0.0	13:28:48.370
	17.3	159.0	17.2	19.5	15.0	0.965	14.8	0.105		0.0	14.1	1068.0	0.3	93.0	10.6	0.0	13:28:48.371
	17.3	159.0	17.2	19.5	15.0	0.965	14.8	0.89		0.0	14.1	1068.0	0.3	93.0	10.6	0.0	13:28:48.618
	17.3	159.0	17.2	19.5	15.0	0.965	14.8	0.89		0.0	14.1	1068.0	0.3	93.0	10.6	0.0	13:28:48.860
	17.3	159.0	17.2	19.5	15.0	0.965	14.8	0.89		0.0	14.1	1068.0	0.3	93.0	10.6	0.0	13:28:49.350
	17.3	159.0	17.2	19.5	15.0	0.965	14.8	0.89		0.0	14.0	1068.0	0.3	93.0	10.6	0.0	13:28:49.586
	17.3	159.0	17.2	19.5	15.0	0.965	14.8	0.89		0.0	14.0	1068.0	0.3	93.0	10.6	0.0	13:28:49.843
	17.3	159.0	17.2	19.5	15.0	0.965	14.8	0.89		0.0	14.0	1068.0	0.3	93.0	10.6	0.0	13:28:49.843
	14.5	159.0	17.2	19.5	15.0	0.965	14.8	0.89		0.0	14.0	1068.0	0.3	93.0	10.6	0.0	13:28:50.090
	14.5	159.0	17.2	19.5	15.0	0.965	14.8	0.89		0.0	14.0	1068.0	0.3	93.0	10.6	0.0	13:28:50.332
	14.5	159.0	12.5	19.5	15.0	0.965	14.8	0.89		0.0	14.0	1068.0	0.3	93.0	10.6	0.0	13:28:50.600
	14.5	159.0	12.5	19.5	15.0	0.965	14.8	0.89		0.0	14.0	1068.0	0.3	93.0	10.6	0.0	13:28:50.848
	14.5	159.0	12.5	19.5	15.0	0.965	14.8	0.89		0.0	14.0	971.0	0.3	93.0	10.6	0.0	13:28:51.130
	14.5	159.0	12.5	19.5	15.0	0.965	14.8	0.89		0.0	14.0	971.0	0.3	93.0	10.6	0.0	13:28:51.402
	14.5	159.0	12.5	19.5	12.5	0.965	14.8	0.89		0.0	14.0	971.0	0.3	93.0	10.6	0.0	13:28:51.644
	14.5	159.0	12.5	19.5	12.5	0.965	14.8	0.89		0.0	14.0	971.0	0.3	93.0	10.6	0.0	13:28:51.889
	14.5	159.0	12.5	19.5	12.5	0.965	14.8	0.89		0.0	14.0	971.0	0.5	93.0	10.6	0.0	13:28:52.138
	14.5	159.0	12.5	19.5	12.5	0.965	14.8	0.89		0.0	14.0	971.0	0.5	93.0	10.6	0.0	13:28:52.385
	14.5	159.0	12.5	19.5	12.5	0.965	14.8	0.89		0.0	14.0	971.0	0.5	93.0	10.6	0.0	13:28:52.628
	14.5	159.0	12.5	19.5	12.5	0.055	14.8	0.89		0.0	14.0	971.0	0.5	93.0	10.6	0.0	13:28:52.874
	14.5	159.0	12.5	19.5	12.5	0.055	13.3	0.89		0.0	14.0	971.0	0.5	93.0	10.6	0.0	13:28:52.874
	14.5	159.0	12.5	19.5	12.5	0.055	13.3	0.2		0.0	14.0	971.0	0.5	93.0	10.6	0.0	13:28:53.119
	14.5	159.0	12.5	19.5	12.5	0.055	13.3	0.2		0.0	14.0	971.0	0.5	93.0	10.6	0.0	13:28:53.374
	14.5	159.0	12.5	19.5	12.5	0.055	13.3	0.2		0.0	14.0	971.0	0.5	93.0	10.6	0.0	13:28:53.895
	14.5	159.0	12.5	19.5	12.5	0.055	13.3	0.2		0.0	14.0	971.0	0.5	93.0	10.6	0.0	13:28:54.131
	14.5	159.0	12.5	19.5	12.5	0.055	13.3	0.2		0.0	14.0	971.0	0.5	93.0	10.6	0.0	13:28:54.404
	14.5	159.0	12.5	19.5	12.5	0.055	13.3	0.2		0.0	14.0	971.0	0.5	93.0	10.6	0.0	13:28:54.404
	19.6	159.0	12.5	19.5	12.5	0.055	13.3	0.2		0.0	14.0	971.0	0.5	93.0	10.6	0.0	13:28:54.663
	19.6	159.0	12.5	19.5	12.5	0.055	13.3	0.2		0.0	14.0	971.0	0.5	93.0	10.6	0.0	13:28:54.919
	19.6	159.0	15.6	19.5	12.5	0.055	13.3	0.2		0.0	14.0	971.0	0.5	93.0	10.6	0.0	13:28:55.168
	19.6	159.0	15.6	19.5	12.5	0.055	13.3	0.2		0.0	14.0	971.0	0.5	93.0	10.6	0.0	13:28:55.425
	19.6	159.0	15.6	19.5	12.5	0.055	13.3	0.2		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:55.698
	19.6	159.0	15.6	19.5	12.5	0.055	13.3	0.2		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:55.950
	19.6	159.0	15.6	19.5	14.0	0.055	13.3	0.2		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:56.198
	19.6	159.0	15.6	19.5	14.0	0.055	13.3	0.2		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:56.450
	19.6	159.0	15.6	19.5	14.0	0.055	13.3	0.2		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:56.708
	19.6	159.0	15.6	19.5	14.0	0.055	13.3	0.2		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:56.954
	19.6	159.0	15.6	19.5	14.0	0.055	13.3	0.2		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:57.199
	19.6	159.0	15.6	19.5	14.0	0.83	13.3	0.2		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:57.445
	19.6	159.0	15.6	19.5	14.0	0.83	16.4	0.2		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:57.445
	19.6	159.0	15.6	19.5	14.0	0.83	16.4	0.64		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:57.693
	19.6	159.0	15.6	19.5	14.0	0.83	16.4	0.64		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:57.959
	19.6	159.0	15.6	19.5	14.0	0.83	16.4	0.64		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:58.499
	19.6	159.0	15.6	19.5	14.0	0.83	16.4	0.64		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:58.734
	19.6	159.0	15.6	19.5	14.0	0.83	16.4	0.64		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:58.985
	19.6	159.0	15.6	19.5	14.0	0.83	16.4	0.64		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:58.985
	18.8	159.0	15.6	19.5	14.0	0.83	16.4	0.64		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:59.233
	18.8	159.0	15.6	19.5	14.0	0.83	16.4	0.64		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:59.481
	18.8	159.0	18.8	19.5	14.0	0.83	16.4	0.64		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:59.747
	18.8	159.0	18.8	19.5	14.0	0.83	16.4	0.64		0.0	14.0	1033.0	0.5	93.0	10.6	0.0	13:28:59.998
	18.8	159.0	18.8	19.5	14.0	0.83	16.4	0.64		0.0	14.0	1060.0	0.5	93.0	10.6	0.0	13:29:00.248
	18.8	159.0	18.8	19.5	14.0	0.83	16.4	0.64		0.0	14.0	1060.0	0.5	93.0	10.6	0.0	13:29:00.504
	18.8	159.0	18.8	19.5	13.5	0.83	16.4	0.64		0.0	14.0	1060.0	0.5	93.0	10.6	0.0	13:29:00.750
	18.8	159.0	18.8	19.5	13.5	0.83	16.4	0.64		0.0	14.0	1060.0	0.5	93.0	10.6	0.0	13:29:01.000
	18.8	159.0	18.8	19.5	13.5	0.83	16.4	0.64		0.0	14.0	1060.0	0.5	93.0	10.6	0.0	13:29:01.270
	18.8	159.0	18.8	19.5	13.5	0.83	16.4	0.64		0.0	14.0	1060.0	0.5	93.0	10.6	0.0	13:29:01.520
	18.8	159.0	18.8	19.5	13.5	0.83	16.4	0.64		0.0	14.0	1060.0	0.5	93.0	10.6	0.0	13:29:01.768
