Fuel system status: Fuel system 2	Short Term Fuel Trim - Bank 1 [%]	Long Term Fuel Trim - Bank 1 [%]	Bank 1 - Sensor 1 (O2S): Short Term Fuel Trim [%]	Bank 1 - Sensor 2 (O2S): Short Term Fuel Trim [%]	Engine RPM [RPM]	Air Flow Rate from Mass Flow Sensor [lb/min]	Intake Air Temperature [°F]	Absolute Throttle Position [%]	Vehicle Speed Sensor [mph]	Ignition Timing Advance for #1 Cylinder	Engine Coolant Temperature [°F]	Battery voltage [V]	Calculated engine load [%]	Bank 1 - Sensor 2 (O2S): Oxygen Sensor Output Voltage [V]	Bank 1 - Sensor 1 (O2S): Oxygen Sensor Output Voltage [V]	Fuel consumption [MPG]	Time
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string
					class	class	class	class	class	class	class	class	class	class	class	class	meta
	12.5	19.5	14.8		971.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	14.5	0.89	0.965	0.0	13:28:52.628
	12.5	19.5	14.8		971.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	14.5	0.89	0.055	0.0	13:28:52.874
	12.5	19.5	13.3		971.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	14.5	0.89	0.055	0.0	13:28:52.874
	12.5	19.5	13.3		971.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	14.5	0.2	0.055	0.0	13:28:53.119
	12.5	19.5	13.3		971.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	14.5	0.2	0.055	0.0	13:28:53.374
	12.5	19.5	13.3		971.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	14.5	0.2	0.055	0.0	13:28:53.895
	12.5	19.5	13.3		971.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	14.5	0.2	0.055	0.0	13:28:54.131
	12.5	19.5	13.3		971.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	14.5	0.2	0.055	0.0	13:28:54.404
	12.5	19.5	13.3		971.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	14.5	0.2	0.055	0.0	13:28:54.404
	12.5	19.5	13.3		971.0	0.5	93.0	10.6	0.0	12.5	159.0	14.0	19.6	0.2	0.055	0.0	13:28:54.663
